,rateRoll_des,ratePitch_des,rateYaw_des,rateRoll,ratePitch,rateYaw,roll,pitch,yaw,roll_d,pitch_d,yaw_d,T,R,P,Y,vx,vy,vz,z
131,0.0,0.0,-0.0,-22.861,13.465,56.494,1.7,0.6,44.7,0.0,0.0,0.0,55767.0,2865.0,-5523.0,11303.0,0.116,-0.648,0.655,0.334
132,0.0,0.0,-0.0,-17.762,13.293,53.4,1.5,0.7,45.3,0.0,0.0,0.0,55767.0,3771.0,-6761.0,15647.0,0.114,-0.647,0.6900000000000001,0.341
133,0.0,0.0,-0.0,-22.231,13.121,54.832,1.0,1.0,46.3,0.0,0.0,0.0,55767.0,-4923.0,-7202.0,13597.0,0.117,-0.659,0.741,0.35100000000000003
134,0.0,0.0,-0.0,-21.83,14.152,54.546,0.8,1.2,46.9,0.0,0.0,0.0,55767.0,-1020.0,-13915.0,13596.0,0.116,-0.658,0.773,0.359
135,0.0,0.0,-0.0,-17.189,17.074,53.572,0.6,1.4,47.4,0.0,0.0,0.0,55767.0,235.0,-5283.0,17189.0,0.11800000000000001,-0.664,0.804,0.367
136,0.0,0.0,-0.0,-18.736,14.725,54.488,0.4,1.5,48.0,0.0,0.0,0.0,55767.0,5604.0,-4733.0,12154.0,0.112,-0.664,0.839,0.375
137,0.771,-13.02,-289.077,-19.767,9.339,54.889,0.2,1.6,48.5,-12.9,-11.1,0.0,55767.0,6255.0,-2401.0,32767.0,0.109,-0.663,0.887,0.386
138,-79.588,-75.773,-288.294,-21.944,6.704,51.566,-0.1,1.6,48.9,-12.9,-11.4,0.0,42346.6,-7621.0,-14674.0,32767.0,0.109,-0.672,0.92,0.395
139,-78.978,-78.584,-292.117,-20.798,7.735,37.529,-0.4,1.7,49.2,-12.8,-11.6,0.0,40982.5,-6176.0,-14345.0,32767.0,0.106,-0.672,0.9500000000000001,0.404
140,-77.227,-80.101,-295.02,-27.387,3.896,20.798,-0.3,1.7,49.2,-12.6,-11.7,0.0,39640.9,-4480.0,-12613.0,32767.0,0.1,-0.669,0.977,0.41400000000000003
